cum_buys_sol,entry_price_sol,tokens_for_1sol,eff_cost_sol,price_after_sol,nav_sol,redeem_price_after_fees_sol,backing_pct,pool_sol,instant_roundtrip_sol,instant_pnl_pct
169,1.695534952,0.571913858,1.748515071,1.696379853,1.586115162,1.490948253,93.5,167.31,0.8526939673,-14.73060327
170,1.696379853,0.571630055,1.749383174,1.697220183,1.586900871,1.491686818,93.5,168.3,0.8526930181,-14.73069819
171,1.697220183,0.571348062,1.750246595,1.698055993,1.587682354,1.492421412,93.5,169.29,0.8526920816,-14.73079184
172,1.698055993,0.571067855,1.751105392,1.698887335,1.588459658,1.493152079,93.5,170.28,0.8526911547,-14.73088453
173,1.698887335,0.570789413,1.751959615,1.699714258,1.589232831,1.493878861,93.5,171.27,0.8526902382,-14.73097618
174,1.699714258,0.570512715,1.752809313,1.70053681,1.590001918,1.494601803,93.5,172.26,0.8526893322,-14.73106678
175,1.70053681,0.570237741,1.753654534,1.701355041,1.590766963,1.495320945,93.5,173.25,0.8526884379,-14.73115621
176,1.701355041,0.569964469,1.754495332,1.702168996,1.591528012,1.496036331,93.5,174.24,0.8526875529,-14.73124471
177,1.702168996,0.569692879,1.755331753,1.702978723,1.592285106,1.496748,93.5,175.23,0.8526866773,-14.73133227
178,1.702978723,0.569422952,1.756163844,1.703784268,1.59303829,1.497455993,93.5,176.22,0.852685812,-14.7314188
179,1.703784268,0.569154669,1.756991648,1.704585674,1.593787605,1.498160349,93.5,177.21,0.8526849576,-14.73150424
180,1.704585674,0.568888009,1.757815219,1.705382987,1.594533093,1.498861107,93.5,178.2,0.8526841112,-14.73158888
181,1.705382987,0.568622955,1.758634595,1.70617625,1.595274794,1.499558306,93.5,179.19,0.8526832752,-14.73167248
182,1.70617625,0.568359487,1.759449825,1.706965505,1.596012748,1.500251983,93.5,180.18,0.8526824472,-14.73175528
183,1.706965505,0.568097588,1.76026095,1.707750796,1.596746994,1.500942174,93.5,181.17,0.8526816289,-14.73183711
184,1.707750796,0.56783724,1.761068013,1.708532162,1.597477571,1.501628917,93.5,182.16,0.8526808198,-14.73191802
185,1.708532162,0.567578425,1.761871058,1.709309645,1.598204518,1.502312247,93.5,183.15,0.8526800192,-14.73199808
186,1.709309645,0.567321126,1.762670125,1.710083286,1.598927872,1.5029922,93.5,184.14,0.8526792273,-14.73207727
187,1.710083286,0.567065326,1.763465256,1.710853123,1.59964767,1.50366881,93.5,185.13,0.8526784439,-14.73215561
188,1.710853123,0.566811008,1.764256491,1.711619196,1.600363948,1.504342111,93.5,186.12,0.8526776684,-14.73223316
189,1.711619196,0.566558157,1.765043866,1.712381542,1.601076742,1.505012138,93.5,187.11,0.852676903,-14.7323097
190,1.712381542,0.566306754,1.76582743,1.713140201,1.601786088,1.505678922,93.5,188.1,0.852676143,-14.7323857
191,1.713140201,0.566056786,1.766607211,1.713895207,1.602492019,1.506342498,93.5,189.09,0.8526753929,-14.73246071
192,1.713895207,0.565808236,1.767383252,1.714646599,1.60319457,1.507002896,93.5,190.08,0.8526746504,-14.73253496
