sell_n,tokens_sold,seller_receives_sol,nav_sol,redeem_price_sol,price_frozen_sol,pool_sol
260,0.555134043,0.940000001,1.801729989,1.693626189,1.858050541,248.0000001
261,0.555022121,0.940000001,1.802094711,1.693969029,1.858050541,247.0500001
262,0.554909791,0.940000001,1.802460916,1.694313261,1.858050541,246.1000001
263,0.55479705,0.940000001,1.802828616,1.694658899,1.858050541,245.1500001
264,0.554683895,0.94,1.803197821,1.695005951,1.858050541,244.2000001
265,0.554570324,0.940000001,1.803568544,1.695354431,1.858050541,243.2500001
266,0.554456332,0.940000001,1.803940797,1.69570435,1.858050541,242.3000001
267,0.554341917,0.940000001,1.804314594,1.696055718,1.858050541,241.3500001
268,0.554227075,0.940000001,1.804689945,1.696408548,1.858050541,240.4000001
269,0.554111803,0.940000001,1.805066865,1.696762853,1.858050541,239.4500001
270,0.553996098,0.940000001,1.805445365,1.697118643,1.858050541,238.5000001
271,0.553879956,0.940000001,1.805825458,1.697475931,1.858050541,237.5500001
272,0.553763374,0.94,1.806207159,1.697834729,1.858050541,236.6000001
273,0.553646349,0.940000001,1.80659048,1.698195051,1.858050541,235.6500001
274,0.553528877,0.940000001,1.806975434,1.698556908,1.858050541,234.7000001
275,0.553410954,0.94,1.807362035,1.698920313,1.858050541,233.7500001
276,0.553292578,0.940000001,1.807750298,1.69928528,1.858050541,232.8000001
277,0.553173743,0.94,1.808140235,1.699651821,1.858050541,231.8500001
278,0.553054448,0.940000001,1.808531862,1.70001995,1.858050541,230.9000001
279,0.552934687,0.940000001,1.808925192,1.700389681,1.858050541,229.9500001
280,0.552814458,0.940000001,1.80932024,1.700761026,1.858050541,229.0000001
281,0.552693756,0.940000001,1.809717021,1.701134,1.858050541,228.0500001
282,0.552572578,0.940000001,1.810115549,1.701508616,1.858050541,227.1000001
283,0.552450919,0.94,1.81051584,1.70188489,1.858050541,226.1500001
284,0.552328777,0.940000001,1.810917909,1.702262835,1.858050541,225.2000001
285,0.552206146,0.940000001,1.811321771,1.702642465,1.858050541,224.2500001
286,0.552083023,0.940000001,1.811727442,1.703023796,1.858050541,223.3000001
287,0.551959404,0.940000001,1.812134938,1.703406842,1.858050541,222.3500001
288,0.551835284,0.94,1.812544275,1.703791619,1.858050541,221.4000001
289,0.55171066,0.94,1.81295547,1.704178142,1.858050541,220.4500001
290,0.551585527,0.94,1.813368538,1.704566425,1.858050541,219.5000001
291,0.551459882,0.940000001,1.813783496,1.704956486,1.858050541,218.5500001
292,0.551333718,0.94,1.814200362,1.70534834,1.858050541,217.6000001
293,0.551207033,0.94,1.814619153,1.705742003,1.858050541,216.6500001
294,0.551079822,0.940000001,1.815039885,1.706137492,1.858050541,215.7000001
295,0.55095208,0.940000001,1.815462577,1.706534823,1.858050541,214.7500001
296,0.550823802,0.940000001,1.815887247,1.706934012,1.858050541,213.8000001
297,0.550694984,0.94,1.816313912,1.707335077,1.858050541,212.8500001
298,0.550565622,0.94,1.816742591,1.707738036,1.858050541,211.9000001
299,0.550435711,0.940000001,1.817173303,1.708142905,1.858050541,210.9500001
300,0.550305245,0.940000001,1.817606066,1.708549702,1.858050541,210.0000001
301,0.55017422,0.940000001,1.8180409,1.708958446,1.858050541,209.0500001
302,0.55004263,0.94,1.818477824,1.709369155,1.858050541,208.1000001
303,0.549910472,0.94,1.818916858,1.709781847,1.858050541,207.1500001
304,0.54977774,0.940000001,1.819358022,1.71019654,1.858050541,206.2000001
305,0.549644428,0.940000001,1.819801335,1.710613255,1.858050541,205.2500001
306,0.549510532,0.940000001,1.820246819,1.71103201,1.858050541,204.3000001
307,0.549376045,0.94,1.820694494,1.711452824,1.858050541,203.3500001
308,0.549240964,0.94,1.821144381,1.711875718,1.858050541,202.4000001
309,0.549105282,0.940000001,1.821596502,1.712300712,1.858050541,201.4500001
310,0.548968994,0.940000001,1.822050879,1.712727826,1.858050541,200.5000001
311,0.548832094,0.940000001,1.822507534,1.713157082,1.858050541,199.5500001
312,0.548694576,0.94,1.822966488,1.713588499,1.858050541,198.6000001
313,0.548556436,0.940000001,1.823427765,1.714022099,1.858050541,197.6500001
314,0.548417666,0.94,1.823891387,1.714457904,1.858050541,196.7000001
315,0.548278262,0.940000001,1.824357379,1.714895936,1.858050541,195.7500001
316,0.548138216,0.940000001,1.824825764,1.715336218,1.858050541,194.8000001
317,0.547997523,0.94,1.825296565,1.715778771,1.858050541,193.8500001
318,0.547856178,0.940000001,1.825769807,1.716223619,1.858050541,192.9000001
319,0.547714172,0.94,1.826245516,1.716670785,1.858050541,191.9500001
320,0.547571501,0.94,1.826723716,1.717120293,1.858050541,191.0000001
321,0.547428158,0.94,1.827204433,1.717572167,1.858050541,190.0500001
322,0.547284136,0.940000001,1.827687692,1.718026431,1.858050541,189.1000001
323,0.547139428,0.94,1.828173521,1.71848311,1.858050541,188.1500001
324,0.546994029,0.940000001,1.828661946,1.718942229,1.858050541,187.2000001
325,0.54684793,0.940000001,1.829152993,1.719403814,1.858050541,186.2500001
326,0.546701125,0.940000001,1.829646692,1.71986789,1.858050541,185.3000001
327,0.546553607,0.940000001,1.830143069,1.720334485,1.858050541,184.3500001
328,0.546405369,0.940000001,1.830642154,1.720803625,1.858050541,183.4000001
329,0.546256404,0.940000001,1.831143975,1.721275336,1.858050541,182.4500001
330,0.546106703,0.94,1.831648561,1.721749647,1.858050541,181.5000001
331,0.545956261,0.940000001,1.832155943,1.722226586,1.858050541,180.5500001
